FSTOTDE2,CERTHHSZ,FSSSI,FSGA,FSUNEARN,RAWNET,FSTOTDED,FSASSET,WRK_POOR,FSSLTDE2,SHELDED,FSNETINC,FSEARN,FSGRINC,FSERNDE2,FSDIS,FSUSIZE,RAWERND,FSERNDED,FSSTDDE2,FSWAGES,TANF_IND,TPOV,FSSLTDED,FSTANF,FSNELDER,LIQRESOR,REALPROP,HWGT,FSNONCIT,CAT_ELIG,FSVEHAST,VEHICLEA
304.0,3.0,0.0,0.0,692.0,1241.0,304.0,0.0,1.0,0.0,0.0,1242.0,854.0,1546.0,170.0,1.0,3.0,171.0,170.0,134.0,854.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,1109.9305576091976,0.0,0.0,0.0,1.0
264.0,1.0,0.0,0.0,657.0,393.0,264.0,0.0,0.0,130.0,130.0,393.0,0.0,657.0,0.0,0.0,1.0,0.0,0.0,201.0,0.0,0.0,80.0,130.0,0.0,1.0,0.0,0.0,839.8897475593062,0.0,0.0,0.0,1.0
602.0,6.0,0.0,0.0,0.0,0.0,758.0,0.0,1.0,261.0,417.0,0.0,602.0,602.0,0.0,0.0,6.0,120.0,120.0,30.0,602.0,0.0,27.0,417.0,0.0,0.0,0.0,0.0,747.7609155795811,0.0,0.0,0.0,1.0
147.0,2.0,0.0,0.0,147.0,0.0,551.0,0.0,0.0,13.0,417.0,0.0,0.0,147.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,417.0,0.0,0.0,0.0,0.0,705.4012962642041,0.0,0.0,0.0,1.0
134.0,2.0,18.0,0.0,924.0,790.0,134.0,0.0,0.0,0.0,0.0,790.0,0.0,924.0,0.0,0.0,2.0,0.0,0.0,134.0,0.0,0.0,84.0,0.0,0.0,2.0,0.0,0.0,962.9561307354808,0.0,1.0,0.0,1.0
226.0,3.0,0.0,0.0,414.0,188.0,226.0,267.0,0.0,92.0,92.0,188.0,0.0,414.0,0.0,0.0,3.0,0.0,0.0,201.0,0.0,0.0,30.0,92.0,0.0,0.0,267.0,0.0,765.4373824019225,0.0,0.0,0.0,1.0
134.0,3.0,0.0,0.0,389.0,255.0,134.0,0.0,0.0,0.0,0.0,255.0,0.0,389.0,0.0,0.0,3.0,0.0,0.0,134.0,0.0,1.0,28.0,0.0,389.0,0.0,0.0,0.0,788.258696840136,0.0,1.0,0.0,1.0
40.0,1.0,0.0,0.0,40.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,1.0,0.0,0.0,40.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,711.655694960853,0.0,0.0,0.0,1.0
509.0,2.0,0.0,231.0,231.0,734.0,509.0,0.0,1.0,173.0,173.0,735.0,1013.0,1244.0,303.0,0.0,2.0,203.0,202.0,201.0,1013.0,0.0,113.0,173.0,0.0,1.0,0.0,0.0,945.5684625756128,0.0,0.0,0.0,1.0
547.0,1.0,603.0,0.0,603.0,5.0,547.0,0.0,0.0,413.0,463.0,56.0,0.0,603.0,0.0,1.0,1.0,0.0,0.0,201.0,0.0,0.0,74.0,413.0,0.0,0.0,0.0,0.0,730.1300923602863,0.0,1.0,0.0,1.0
134.0,1.0,0.0,0.0,881.0,747.0,134.0,0.0,0.0,0.0,0.0,747.0,0.0,881.0,0.0,1.0,1.0,0.0,0.0,134.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,869.2314375616088,0.0,0.0,0.0,1.0
386.0,1.0,0.0,0.0,923.0,536.0,386.0,0.0,0.0,198.0,198.0,537.0,0.0,923.0,0.0,0.0,1.0,0.0,0.0,201.0,0.0,0.0,113.0,198.0,0.0,1.0,0.0,0.0,869.2314375616089,0.0,0.0,0.0,1.0
263.0,2.0,156.0,0.0,940.0,677.0,263.0,0.0,0.0,129.0,129.0,677.0,0.0,940.0,0.0,1.0,2.0,0.0,0.0,201.0,0.0,1.0,85.0,129.0,231.0,0.0,0.0,0.0,926.0073359137072,0.0,1.0,0.0,1.0
253.0,2.0,247.0,0.0,623.0,370.0,253.0,0.0,0.0,119.0,119.0,370.0,0.0,623.0,0.0,0.0,2.0,0.0,0.0,201.0,0.0,0.0,57.0,119.0,0.0,1.0,0.0,0.0,826.0282440535424,0.0,0.0,0.0,1.0
134.0,1.0,0.0,231.0,231.0,97.0,134.0,0.0,0.0,0.0,0.0,97.0,0.0,231.0,0.0,0.0,1.0,0.0,0.0,134.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,743.1708434696594,0.0,1.0,0.0,1.0
459.0,3.0,0.0,0.0,0.0,1166.0,459.0,210.0,1.0,0.0,0.0,1166.0,1625.0,1625.0,325.0,0.0,3.0,325.0,325.0,134.0,1625.0,0.0,117.0,0.0,0.0,0.0,210.0,0.0,1084.9357846450434,0.0,0.0,0.0,1.0
134.0,1.0,0.0,231.0,231.0,97.0,134.0,0.0,0.0,0.0,0.0,97.0,0.0,231.0,0.0,0.0,1.0,0.0,0.0,134.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,743.1708434696594,0.0,1.0,0.0,1.0
436.0,7.0,523.0,0.0,1150.0,714.0,436.0,0.0,0.0,250.0,250.0,714.0,0.0,1150.0,0.0,1.0,7.0,0.0,0.0,279.0,0.0,1.0,46.0,250.0,294.0,0.0,0.0,0.0,1029.4897706171243,1.0,1.0,0.0,1.0
100.0,2.0,0.0,0.0,100.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2.0,0.0,0.0,100.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,705.4012962642041,0.0,0.0,0.0,1.0
471.0,1.0,25.0,0.0,623.0,151.0,471.0,2.0,0.0,337.0,337.0,152.0,0.0,623.0,0.0,1.0,1.0,0.0,0.0,201.0,0.0,0.0,76.0,337.0,0.0,0.0,2.0,0.0,761.6452408870326,0.0,1.0,0.0,1.0
910.0,5.0,0.0,0.0,326.0,647.0,910.0,0.0,1.0,417.0,417.0,647.0,1231.0,1557.0,274.0,0.0,5.0,246.0,246.0,162.0,1231.0,1.0,80.0,417.0,326.0,0.0,0.0,0.0,958.3204150285828,0.0,1.0,0.0,1.0
231.0,1.0,0.0,0.0,231.0,0.0,551.0,0.0,0.0,97.0,417.0,0.0,0.0,231.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,28.0,417.0,231.0,0.0,0.0,0.0,711.655694960853,0.0,1.0,0.0,1.0
134.0,1.0,0.0,231.0,231.0,97.0,134.0,0.0,0.0,0.0,0.0,97.0,0.0,231.0,0.0,0.0,1.0,0.0,0.0,134.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,743.1708434696594,0.0,1.0,0.0,1.0
398.0,4.0,0.0,0.0,0.0,900.0,398.0,0.0,1.0,0.0,0.0,898.0,1296.0,1296.0,259.0,0.0,4.0,260.0,259.0,139.0,1296.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,1011.3041718713245,0.0,0.0,0.0,1.0
483.0,1.0,0.0,0.0,750.0,268.0,483.0,0.0,0.0,349.0,348.0,267.0,0.0,750.0,0.0,0.0,1.0,0.0,0.0,201.0,0.0,0.0,92.0,349.0,0.0,0.0,0.0,0.0,798.594035706463,0.0,0.0,0.0,1.0
198.0,1.0,603.0,0.0,603.0,405.0,198.0,0.0,0.0,64.0,65.0,405.0,0.0,603.0,0.0,0.0,1.0,0.0,0.0,198.0,0.0,0.0,74.0,64.0,0.0,1.0,0.0,0.0,844.2366646014949,0.0,1.0,0.0,1.0
299.0,1.0,603.0,0.0,603.0,303.0,299.0,948.0,0.0,165.0,165.0,304.0,0.0,603.0,0.0,1.0,1.0,0.0,0.0,201.0,0.0,0.0,74.0,165.0,0.0,0.0,948.0,0.0,810.5480575611468,0.0,1.0,0.0,1.0
0.0,1.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711.655694960853,0.0,0.0,0.0,1.0
238.0,2.0,0.0,0.0,389.0,150.0,238.0,0.0,0.0,104.0,104.0,151.0,0.0,389.0,0.0,0.0,2.0,0.0,0.0,201.0,0.0,1.0,35.0,104.0,389.0,0.0,0.0,0.0,754.3041129423528,0.0,1.0,0.0,1.0
482.0,4.0,0.0,0.0,0.0,807.0,482.0,403.0,1.0,85.0,85.0,808.0,1290.0,1290.0,343.0,0.0,4.0,258.0,258.0,208.0,1290.0,0.0,77.0,85.0,0.0,0.0,403.0,0.0,981.9624818750046,0.0,0.0,0.0,1.0
773.0,3.0,0.0,0.0,155.0,495.0,773.0,0.0,1.0,417.0,417.0,495.0,1113.0,1268.0,274.0,0.0,3.0,223.0,222.0,142.0,1113.0,0.0,92.0,417.0,0.0,0.0,0.0,0.0,866.5032035168679,0.0,0.0,0.0,1.0
812.0,1.0,0.0,0.0,0.0,0.0,842.0,0.0,1.0,387.0,417.0,0.0,812.0,812.0,212.0,0.0,1.0,162.0,162.0,170.0,812.0,0.0,99.0,417.0,0.0,0.0,0.0,0.0,711.655694960853,0.0,0.0,0.0,1.0
492.0,1.0,95.0,0.0,452.0,547.0,492.0,0.0,1.0,228.0,229.0,549.0,589.0,1041.0,175.0,1.0,1.0,118.0,117.0,201.0,589.0,0.0,127.0,228.0,0.0,0.0,0.0,0.0,869.2314375616089,0.0,1.0,0.0,1.0
134.0,3.0,0.0,0.0,389.0,255.0,134.0,0.0,0.0,0.0,0.0,255.0,0.0,389.0,0.0,0.0,3.0,0.0,0.0,134.0,0.0,1.0,28.0,0.0,389.0,0.0,0.0,0.0,788.258696840136,0.0,1.0,0.0,1.0
0.0,1.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711.655694960853,0.0,0.0,0.0,1.0
726.0,4.0,0.0,0.0,0.0,125.0,726.0,0.0,1.0,417.0,417.0,126.0,852.0,852.0,170.0,0.0,4.0,170.0,170.0,139.0,852.0,0.0,51.0,417.0,0.0,0.0,0.0,0.0,760.2697129613572,2.0,0.0,0.0,1.0
170.0,3.0,0.0,0.0,170.0,0.0,611.0,0.0,0.0,0.0,417.0,0.0,0.0,170.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,12.0,417.0,120.0,0.0,0.0,0.0,704.5805438707989,0.0,1.0,0.0,1.0
0.0,1.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711.655694960853,0.0,0.0,0.0,1.0
0.0,5.0,0.0,0.0,0.0,0.0,579.0,0.0,0.0,0.0,417.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,417.0,0.0,0.0,0.0,0.0,747.4949387192787,0.0,0.0,0.0,1.0
351.0,2.0,0.0,0.0,114.0,278.0,351.0,0.0,1.0,114.0,115.0,279.0,516.0,630.0,154.0,0.0,2.0,103.0,103.0,201.0,516.0,1.0,57.0,114.0,114.0,0.0,0.0,0.0,796.6865540457782,0.0,1.0,0.0,1.0
134.0,1.0,0.0,231.0,231.0,97.0,134.0,0.0,0.0,0.0,0.0,97.0,0.0,231.0,0.0,0.0,1.0,0.0,0.0,134.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,743.1708434696594,0.0,1.0,0.0,1.0
652.0,2.0,0.0,0.0,310.0,573.0,652.0,0.0,1.0,163.0,164.0,574.0,916.0,1226.0,274.0,0.0,2.0,183.0,183.0,201.0,916.0,1.0,111.0,163.0,310.0,0.0,0.0,0.0,892.3187288676908,0.0,1.0,0.0,1.0
0.0,2.0,0.0,0.0,0.0,0.0,551.0,0.0,0.0,0.0,417.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,417.0,0.0,0.0,0.0,0.0,705.4012962642042,0.0,0.0,0.0,1.0
337.0,2.0,0.0,0.0,0.0,678.0,337.0,0.0,1.0,0.0,0.0,678.0,1015.0,1015.0,203.0,0.0,2.0,203.0,203.0,134.0,1015.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,926.0073359137072,0.0,0.0,0.0,1.0
134.0,1.0,0.0,231.0,231.0,97.0,134.0,0.0,0.0,0.0,0.0,97.0,0.0,231.0,0.0,0.0,1.0,0.0,0.0,134.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,743.1708434696594,0.0,1.0,0.0,1.0
248.0,1.0,427.0,0.0,628.0,380.0,248.0,0.0,0.0,114.0,114.0,380.0,0.0,628.0,0.0,0.0,1.0,0.0,0.0,201.0,0.0,0.0,77.0,114.0,0.0,1.0,0.0,0.0,835.5428305209961,0.0,1.0,0.0,1.0
389.0,3.0,0.0,0.0,389.0,0.0,456.0,0.0,0.0,255.0,322.0,0.0,0.0,389.0,0.0,0.0,3.0,0.0,0.0,134.0,0.0,1.0,28.0,322.0,389.0,0.0,0.0,0.0,704.5805438707989,0.0,1.0,0.0,1.0
191.0,4.0,0.0,0.0,499.0,308.0,191.0,0.0,0.0,52.0,52.0,308.0,0.0,499.0,0.0,1.0,4.0,0.0,0.0,191.0,0.0,0.0,30.0,52.0,0.0,0.0,0.0,0.0,818.9530929645381,0.0,0.0,0.0,1.0
